state,hits,keyword,geo,gprop
Colorado,54,improve focus,US,web
Georgia,53,improve focus,US,web
California,52,improve focus,US,web
Virginia,52,improve focus,US,web
Maryland,48,improve focus,US,web
Texas,45,improve focus,US,web
Louisiana,44,improve focus,US,web
Connecticut,41,improve focus,US,web
Wisconsin,40,improve focus,US,web
Missouri,39,improve focus,US,web
Massachusetts,39,improve focus,US,web
New York,39,improve focus,US,web
New Jersey,38,improve focus,US,web
Tennessee,38,improve focus,US,web
Illinois,38,improve focus,US,web
Pennsylvania,36,improve focus,US,web
Utah,35,improve focus,US,web
Oregon,33,improve focus,US,web
Washington,31,improve focus,US,web
Nebraska,30,improve focus,US,web
Michigan,26,improve focus,US,web
Minnesota,25,improve focus,US,web
Kansas,23,improve focus,US,web
Arizona,20,improve focus,US,web
Vermont,0,improve focus,US,web
Wyoming,0,improve focus,US,web
Montana,0,improve focus,US,web
New Hampshire,0,improve focus,US,web
Maine,0,improve focus,US,web
North Dakota,0,improve focus,US,web
West Virginia,0,improve focus,US,web
South Dakota,0,improve focus,US,web
Idaho,0,improve focus,US,web
Delaware,0,improve focus,US,web
Rhode Island,0,improve focus,US,web
Hawaii,0,improve focus,US,web
Alaska,0,improve focus,US,web
District of Columbia,0,improve focus,US,web
North Dakota,100,improve health,US,web
Maryland,91,improve health,US,web
Arizona,81,improve health,US,web
District of Columbia,79,improve health,US,web
Florida,75,improve health,US,web
South Carolina,75,improve health,US,web
Indiana,74,improve health,US,web
Nevada,73,improve health,US,web
Kansas,71,improve health,US,web
Pennsylvania,70,improve health,US,web
Wisconsin,69,improve health,US,web
Michigan,68,improve health,US,web
Arkansas,67,improve health,US,web
Mississippi,67,improve health,US,web
Minnesota,66,improve health,US,web
Colorado,66,improve health,US,web
Kentucky,65,improve health,US,web
New Mexico,65,improve health,US,web
West Virginia,64,improve health,US,web
New York,64,improve health,US,web
Texas,62,improve health,US,web
Wyoming,62,improve health,US,web
South Dakota,62,improve health,US,web
Alabama,62,improve health,US,web
Rhode Island,62,improve health,US,web
Utah,62,improve health,US,web
California,61,improve health,US,web
New Jersey,60,improve health,US,web
Washington,60,improve health,US,web
Connecticut,60,improve health,US,web
Virginia,59,improve health,US,web
North Carolina,58,improve health,US,web
Tennessee,58,improve health,US,web
Idaho,58,improve health,US,web
Hawaii,58,improve health,US,web
Illinois,58,improve health,US,web
Missouri,57,improve health,US,web
New Hampshire,57,improve health,US,web
Louisiana,55,improve health,US,web
Ohio,55,improve health,US,web
Georgia,55,improve health,US,web
Oklahoma,51,improve health,US,web
Nebraska,50,improve health,US,web
Maine,46,improve health,US,web
Massachusetts,46,improve health,US,web
Iowa,44,improve health,US,web
Oregon,42,improve health,US,web
Delaware,37,improve health,US,web
Montana,25,improve health,US,web
Vermont,0,improve health,US,web
Alaska,0,improve health,US,web
Utah,100,health supplements,US,web
Montana,90,health supplements,US,web
Idaho,76,health supplements,US,web
Nevada,72,health supplements,US,web
Kentucky,70,health supplements,US,web
Colorado,68,health supplements,US,web
Nebraska,66,health supplements,US,web
West Virginia,65,health supplements,US,web
Washington,65,health supplements,US,web
Maine,64,health supplements,US,web
Michigan,63,health supplements,US,web
New York,62,health supplements,US,web
Kansas,61,health supplements,US,web
Mississippi,61,health supplements,US,web
North Carolina,59,health supplements,US,web
Oklahoma,59,health supplements,US,web
South Carolina,58,health supplements,US,web
Connecticut,57,health supplements,US,web
Hawaii,56,health supplements,US,web
Oregon,56,health supplements,US,web
Florida,56,health supplements,US,web
Minnesota,56,health supplements,US,web
Illinois,55,health supplements,US,web
Arizona,54,health supplements,US,web
Texas,54,health supplements,US,web
New Jersey,54,health supplements,US,web
Ohio,54,health supplements,US,web
Delaware,54,health supplements,US,web
Louisiana,53,health supplements,US,web
Rhode Island,53,health supplements,US,web
Arkansas,52,health supplements,US,web
Massachusetts,51,health supplements,US,web
New Mexico,51,health supplements,US,web
California,50,health supplements,US,web
Georgia,50,health supplements,US,web
Missouri,50,health supplements,US,web
Pennsylvania,49,health supplements,US,web
Indiana,48,health supplements,US,web
District of Columbia,48,health supplements,US,web
Tennessee,48,health supplements,US,web
Virginia,48,health supplements,US,web
Iowa,48,health supplements,US,web
Wisconsin,47,health supplements,US,web
Maryland,47,health supplements,US,web
Alabama,42,health supplements,US,web
North Dakota,41,health supplements,US,web
New Hampshire,38,health supplements,US,web
Wyoming,0,health supplements,US,web
Vermont,0,health supplements,US,web
South Dakota,0,health supplements,US,web
Alaska,0,health supplements,US,web
North Dakota,100,time management,US,web
Wyoming,90,time management,US,web
District of Columbia,90,time management,US,web
Hawaii,77,time management,US,web
South Carolina,76,time management,US,web
Maryland,72,time management,US,web
North Carolina,71,time management,US,web
Alabama,71,time management,US,web
Oklahoma,71,time management,US,web
Arkansas,66,time management,US,web
Virginia,66,time management,US,web
New York,65,time management,US,web
Mississippi,65,time management,US,web
Georgia,64,time management,US,web
Texas,64,time management,US,web
Florida,64,time management,US,web
New Mexico,62,time management,US,web
Arizona,61,time management,US,web
Connecticut,60,time management,US,web
California,60,time management,US,web
Idaho,60,time management,US,web
Louisiana,60,time management,US,web
New Jersey,59,time management,US,web
Kentucky,59,time management,US,web
Colorado,58,time management,US,web
Missouri,58,time management,US,web
Iowa,58,time management,US,web
Washington,56,time management,US,web
Illinois,56,time management,US,web
West Virginia,55,time management,US,web
Nevada,54,time management,US,web
